fio version 2 iolog
/dev/sdb add
/dev/sdb open
/dev/sdb read 5442109440 1048576
/dev/sdb read 1406140416 1048576
/dev/sdb read 1710227456 1048576
/dev/sdb read 7544504320 1048576
/dev/sdb read 2591031296 1048576
/dev/sdb read 591396864 1048576
/dev/sdb read 3370123264 1048576
/dev/sdb read 7696547840 1048576
/dev/sdb read 1231028224 1048576
/dev/sdb read 2410676224 1048576
/dev/sdb read 4180672512 1048576
/dev/sdb read 9243197440 1048576
/dev/sdb read 3929014272 1048576
/dev/sdb read 9528410112 1048576
/dev/sdb read 836763648 1048576
/dev/sdb read 9502195712 1048576
/dev/sdb read 9418309632 1048576
/dev/sdb read 2602565632 1048576
/dev/sdb read 1648361472 1048576
/dev/sdb read 3631218688 1048576
/dev/sdb read 629145600 1048576
/dev/sdb read 4163895296 1048576
/dev/sdb read 4757389312 1048576
/dev/sdb read 7718567936 1048576
/dev/sdb read 9770631168 1048576
/dev/sdb read 4480565248 1048576
/dev/sdb read 9927917568 1048576
/dev/sdb read 1517289472 1048576
/dev/sdb read 9262071808 1048576
/dev/sdb read 3818913792 1048576
/dev/sdb read 4280287232 1048576
/dev/sdb read 7029653504 1048576
/dev/sdb read 41943040 1048576
/dev/sdb read 111149056 1048576
/dev/sdb read 3700424704 1048576
/dev/sdb read 9831448576 1048576
/dev/sdb read 3992977408 1048576
/dev/sdb read 2953838592 1048576
/dev/sdb read 5183111168 1048576
/dev/sdb read 3671064576 1048576
/dev/sdb read 7034896384 1048576
/dev/sdb read 6793723904 1048576
/dev/sdb read 1776287744 1048576
/dev/sdb read 5079302144 1048576
/dev/sdb read 9470738432 1048576
/dev/sdb read 6500122624 1048576
/dev/sdb read 9935257600 1048576
/dev/sdb read 6150946816 1048576
/dev/sdb read 8852078592 1048576
/dev/sdb read 296747008 1048576
/dev/sdb read 90177536 1048576
/dev/sdb read 1024458752 1048576
/dev/sdb read 1933574144 1048576
/dev/sdb read 1706033152 1048576
/dev/sdb read 1221591040 1048576
/dev/sdb read 5773459456 1048576
/dev/sdb read 5605687296 1048576
/dev/sdb read 7072645120 1048576
/dev/sdb read 4837081088 1048576
/dev/sdb read 10522460160 1048576
/dev/sdb read 7707033600 1048576
/dev/sdb read 9387900928 1048576
/dev/sdb read 8184135680 1048576
/dev/sdb read 8167358464 1048576
