fio version 2 iolog
/dev/sdb add
/dev/sdb open
/dev/sdb read 3652190208 1048576
/dev/sdb read 9547284480 1048576
/dev/sdb read 2555379712 1048576
/dev/sdb read 5163188224 1048576
/dev/sdb read 3969908736 1048576
/dev/sdb read 5209325568 1048576
/dev/sdb read 5207228416 1048576
/dev/sdb read 6285164544 1048576
/dev/sdb read 5012193280 1048576
/dev/sdb read 6051332096 1048576
/dev/sdb read 1628438528 1048576
/dev/sdb read 4519362560 1048576
/dev/sdb read 7453278208 1048576
/dev/sdb read 10020192256 1048576
/dev/sdb read 205520896 1048576
/dev/sdb read 5472518144 1048576
/dev/sdb read 3726639104 1048576
/dev/sdb read 4593811456 1048576
/dev/sdb read 6434062336 1048576
/dev/sdb read 2890924032 1048576
/dev/sdb read 504365056 1048576
/dev/sdb read 3593469952 1048576
/dev/sdb read 6553600000 1048576
/dev/sdb read 8856272896 1048576
/dev/sdb read 3666870272 1048576
/dev/sdb read 1258291200 1048576
/dev/sdb read 2533359616 1048576
/dev/sdb read 3392143360 1048576
/dev/sdb read 6310330368 1048576
/dev/sdb read 4844421120 1048576
/dev/sdb read 10460594176 1048576
/dev/sdb read 1776287744 1048576
/dev/sdb read 6525288448 1048576
/dev/sdb read 10575937536 1048576
/dev/sdb read 4115660800 1048576
/dev/sdb read 7804551168 1048576
/dev/sdb read 946864128 1048576
/dev/sdb read 6383730688 1048576
/dev/sdb read 5401214976 1048576
/dev/sdb read 8690597888 1048576
/dev/sdb read 922746880 1048576
/dev/sdb read 10300162048 1048576
/dev/sdb read 273678336 1048576
/dev/sdb read 763363328 1048576
/dev/sdb read 8650752000 1048576
/dev/sdb read 2739929088 1048576
/dev/sdb read 2459959296 1048576
/dev/sdb read 51380224 1048576
/dev/sdb read 9654239232 1048576
/dev/sdb read 346030080 1048576
/dev/sdb read 3495952384 1048576
/dev/sdb read 7618953216 1048576
/dev/sdb read 9365880832 1048576
/dev/sdb read 5759827968 1048576
/dev/sdb read 7381975040 1048576
/dev/sdb read 5809111040 1048576
/dev/sdb read 14680064 1048576
/dev/sdb read 2036334592 1048576
/dev/sdb read 2638217216 1048576
/dev/sdb read 4404019200 1048576
/dev/sdb read 10614734848 1048576
/dev/sdb read 2422210560 1048576
/dev/sdb read 9410969600 1048576
/dev/sdb read 10170138624 1048576
